artist,album
Post Malone,beerbongs & bentleys
Los Unidades,E-Lo (feat. Jozzy)
Meek Mill,Championships
YNW Melly,I AM YOU
A Boogie Wit da Hoodie,Hoodie SZN
21 Savage,i am > i was
Lil Baby,Drip Harder
Blueface,Famous Cryp
Travis Scott,ASTROWORLD
Halsey,Without Me
Marshmello,Happier
Kodak Black,Dying To Live
Sheck Wes,MUDBOY
Juice WRLD,Death Race For Love
XXXTENTACION,?
Khalid,American Teen
Cardi B,Invasion of Privacy
Flipp Dinero,Leave Me Alone
Calboy,Envy Me
Billie Eilish,dont smile at me
Ski Mask The Slump God,STOKELEY
Panic! At The Disco,Pray For The Wicked
Metro Boomin,NOT ALL HEROES WEAR CAPES (Deluxe)
Gucci Mane,Wake Up in the Sky
Alec Benjamin,Narrated For You
benny blanco,Eastside (with Halsey & Khalid)
Drake,Scorpion
Lady Gaga,A Star Is Born Soundtrack (Without Dialogue)
Ava Max,Sweet but Psycho
Tyga,Taste (feat. Offset)
Bad Bunny,X 100PRE
Lil Mosey,Northsbest
Dean Lewis,Be Alright
Ellie Goulding,Close To Me (feat. Swae Lee)
DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)"
Joji,BALLADS 1
Future,Future Hndrxx Presents: The WIZRD
BlocBoy JB,Look Alive (feat. Drake)
Luke Combs,This One's for You Too (Deluxe Edition)
Bazzi,COSMIC
The Chainsmokers,Sick Boy
Ariana Grande,"thank u, next"
French Montana,No Stylist
Tory Lanez,LoVE me NOw
6ix9ine,DUMMY BOY
YG,STAY DANGEROUS
Lil Peep,"Come Over When You're Sober, Pt. 2"
City Girls,Girl Code
Trippie Redd,A Love Letter To You 3
Zedd,The Middle
Pedro Capó,Calma (Remix)
Rich The Kid,The World Is Yours 2
YoungBoy Never Broke Again,Realer
Comethazine,Bawskee
Eminem,Kamikaze
Ella Mai,Ella Mai
5 Seconds of Summer,Youngblood (Deluxe)
Imagine Dragons,Evolve
Lil Uzi Vert,Luv Is Rage 2
